Blog,Website_Score,Page_rank_score ,Author_Score,Image_Quality_Score,Image_Score,final score ,FAKE/NOTFAKE
https://www.healthline.com/nutrition/how-to-lose-weight-as-fast-as-possible,7.3,3.33,6.84,1.73,9.57,5.754,1
https://food.ndtv.com/health/how-to-lose-weight-in-10-days-tips-and-tricks-1686764,8.5,2.4,6.95,3.56,9.71,6.224,0
https://www.wikihow.life/Lose-Weight-in-10-Days,8.5,0,6.64,6.66,9.85,6.33,0
https://www.stylecraze.com/articles/simple-tips-to-lose-weight-in-10-days/,9,0,7.35,7.55,3.95,5.57,1
https://www.livestrong.com/article/79644-lose-weight-days-exercise/,8.7,2.86,6.75,4.65,6.72,5.936,1
https://www.eatthis.com/how-to-lose-weight-without-going-to-the-gym,8.5,0,6.73,2.58,6.36,4.834,1
https://medium.com/gethealthy/20-tips-to-lose-weight-in-less-than-10-days-3f0421659a72,7.6,1,6.93,5.31,0.38,4.244,1
https://www.onlymyhealth.com/how-lose-weight-quickly-in-ten-days-1312349157,9.1,0,7.04,2.27,9.55,5.592,1
https://www.healthifyme.com/blog/weight-loss-7-days-tips-exercises-side-effects/,9,0,6.7,0.31,9.92,5.186,1
https://ketosolutions.in/?gclid=EAIaIQobChMI2vyp8MjD6wIVFsEWBR3oggXGEAMYAiAAEgJqtfD_BwE#panel-proven-results,8.2,0,6.62,5.23,5.66,5.142,1
https://www.successlearned.com/weight-loss/how-to-lose-weight-10-kgs-in-10-day/,8.1,2,6.89,2.95,9.9,5.968,1
https://www.kent.co.in/blog/how-drinking-water-can-help-you-lose-weight/,9.5,2.3,6.96,0.1,9.45,5.662,1
https://www.thesun.co.uk/fabulous/9688163/weight-loss-fast-easy-body-type/,8.1,0,6.92,2.23,3.45,4.14,1
https://www.gorgeousyouamazinglife.com/lose-10-pounds-in-one-week/,8.6,0,6.27,7.09,6.62,5.716,1
https://www.hairguard.com/hyaluronic-acid-hair-growth/,7.5,3.25,6.83,2.48,0.78,4.168,1
https://www.advancedhairstudioindia.com/blogs/female-pattern-baldness,8.5,0,6.27,5.12,0.22,4.022,1
https://www.hairlossdoctors.com/blog/2018/06/21/causes-of-hair-loss-in-191361,9,1.1,6.86,3.15,0.18,4.058,1
https://www.belgraviacentre.com/blog/teenagers-with-hair-loss-what-can-they-do/,9.1,0,6.81,1.75,9.21,5.374,1
https://blog.daveasprey.com/blog-bulletproof-com-hair-loss-regrow-hair-drugs/,9.2,0,6.81,3.65,9.19,5.77,1
https://www.hairlossdaily.com/female-hair-loss-treatment/,7.7,0,6.27,2.51,8.48,4.992,1
https://hudabeauty.com/us/en_US/blog/hair-loss-causes-best-treatments-65052.html,9,0,6.7,8.58,9.33,6.722,0
https://www.harklinikken.com/blogs/blog/causes-of-hair-loss,7.9,10,6.88,2.86,8.38,7.204,0
https://www.hairlossconsultant.co.uk/hair-care-during-second-phase-of-lockdown/,8.8,10,6.74,1.43,0.6,5.514,1
https://www.healthline.com/health/hair-loss-prevention#1,7.1,2.86,7,1.3,5.42,4.736,1
https://www.hairbuddha.net/how-to-stop-hair-loss-28-simple-remedies-to-grow-your-hair/,7.9,2,6.81,4.24,8.15,5.82,1
https://www.drvenus.in/hair-regrowth-tips/,8.8,1.89,6.93,3.5,9.67,6.158,0
https://vedix.com/blogs/articles/how-to-regrow-hair,8.7,10,6.35,0.39,7.99,6.686,0
https://www.allure.com/story/hair-loss-guide-women-causes-regrowth-treatments,8.7,0,6.88,3.24,0.25,3.814,1
https://www.bebeautiful.in/all-things-hair/hair-concerns/how-to-stop-hair-fall-using-natural-home-remedies,8.7,0,7.02,0.84,2.19,3.75,1
https://www.eatthis.com/best-foods-to-stop-hair-loss/,8.5,5,6.7,0.23,0.18,4.122,1
https://www.prevention.com/food-nutrition/healthy-eating/g29538761/best-food-for-hair-growth/,8,5.33,6.68,3.43,9.02,6.492,0
https://www.healthshots.com/beauty/hair-care/5-vitamins-to-eat-daily-to-reduce-hair-fall-and-hair-loss/,7,1.67,7.27,1.75,4.95,4.528,1
https://www.bbcgoodfood.com/howto/guide/what-eat-healthy-hair,9.2,3.08,6.84,1.4,0.2,4.144,1
https://hudabeauty.com/us/en_US/blog/21-skincare-tips-thatll-transform-your-skin-52826.html,9,10,7.06,3.75,1.73,6.308,0
https://www.wellandgood.com/skinceuticals-discoloration-defense/,9.2,6,6.61,6.33,0.11,5.65,1
https://www.healthshots.com/beauty/skin-care/oily-skin-care-avoid-these-4-foods-to-prevent-acne/,7,2.31,7.24,0.43,1.12,3.62,1
https://www.self.com/story/guide-to-skin-care,8.4,3.2,6.61,4.58,0.18,4.594,1
https://www.nytimes.com/guides/tmagazine/skincare-routine,9.1,0,6.66,2.29,0.28,3.666,1
https://www.chemistryworld.com/features/the-science-of-skincare/5494.article,9.7,0,6.81,6.59,5.6,5.74,1
https://www.allure.com/story/best-skin-care-tips-dermatologists,8.7,3.33,6.96,5,4.27,5.652,1
https://www.myupchar.com/en/beauty,9.3,5,7.06,2.27,0.04,4.734,1
https://travel.earth/15-skin-care-tips-for-winter-travel/,8.8,0,7.15,2.17,0.04,3.632,1
https://www.healthline.com/nutrition/13-acne-remedies,7.3,5,6.88,1.25,2.58,4.602,1
https://www.medicinenet.com/acne/article.htm,8.6,6.67,7.01,1.73,2.59,5.32,1
https://www.theguardian.com/fashion/2020/apr/11/top-10-lockdown-beauty-tips-sali-hughes,9.9,5,7.17,2.13,9.36,6.712,0
https://www.ksat.com/sa-live/2020/10/28/these-4-beauty-tips-might-help-to-maintain-youthful-looking-skin-this-holiday-season/,8.7,3.7,7.32,2.4,9.68,6.36,0
https://www.mindbodygreen.com/articles/oily-eyelids,9.2,10,6.79,3.32,1.45,6.152,0
https://www.vogue.co.uk/beauty/article/korean-skincare-tips-trends,9.2,4.44,6.56,1.34,0.83,4.474,1
https://indianexpress.com/article/lifestyle/life-style/keep-your-glowing-skin-intact-amid-lockdown-with-these-homemade-face-pack-recipes-6361834/,9.2,4.41,7.34,3.45,3.02,5.484,1
https://www.goodhousekeeping.com/uk/fashion-beauty/a35392483/holly-willoughby-jigsaw-shirt-dress/,7.5,5.45,6.98,2.47,5.79,5.638,1
https://www.itv.com/thismorning/articles/the-ultimate-guide-to-at-home-hair-removal,8.2,3.46,6.53,2.98,2.71,4.776,1
https://www.elle.com/uk/beauty/skin/a35403674/hailey-bieber-skincare-line-rhode/,7.6,6.67,6.22,2.86,0.49,4.768,1
https://www.femina.in/beauty/skin/healthy-skin-tips-to-ensure-glowing-skin-175012.html,9.1,4.41,6.21,4.1,2.28,5.22,1
https://nurse.org/articles/skin-acne-masks-protective-hair-tips-for-nurses/,8.4,2.31,6.67,5.88,0.06,4.664,1
https://www.nytimes.com/2020/11/19/style/celebrities-its-official-every-celeb-now-has-a-beauty-line.html,9.1,2.47,6.35,2.72,9.68,6.064,0
https://www.goodhousekeeping.com/uk/fashion-beauty/make-up-advice/a33742009/pat-mcgrath-labs/,7.5,2.65,6.69,0.87,0.07,3.556,1
https://www.medicalnewstoday.com/articles/how-to-get-clear-skin,7.4,3.79,7.05,9.22,0.34,5.56,1
https://www.cosmeticsdesign.com/Article/2020/03/18/19-ways-the-beauty-industry-is-responding-to-CoronaVirus,9.2,4.62,6.18,2.22,9.93,6.43,0
https://www.insider.com/jennifer-lopez-denies-using-botox-jlo-beauty-skin-care-response-2020-12,8.5,6.67,7.12,2.01,1.21,5.102,1
https://www.rte.ie/lifestyle/fashion/2020/0429/1135547-lorraine-keane-shares-her-top-beauty-tips-and-favourite-products/,9,10,6.81,3.05,0.6,5.892,1
https://food.ndtv.com/beauty/9-beauty-tips-for-gorgeous-skin-and-hair-1225089,8.4,9,7.36,1.78,1.32,5.572,1
https://www.northwichguardian.co.uk/news/18962330.beauty-tips-morning-festivities/,8.6,10,6.99,1.74,2.46,5.958,1
https://www.healthline.com/health/beauty-skin-care/advice-from-older-women,7.1,2.86,7.01,5,1.91,4.776,1
https://www.goodhousekeeping.com/uk/fashion-beauty/a32171985/trinny-woodall-makeup/,7.5,3.33,7.12,6.34,4.8,5.818,1
https://nypost.com/2020/05/11/marilyn-monroes-diet-and-beauty-secrets-how-to-get-them/,9.6,3.33,6.86,1.34,3.04,4.834,1
https://www.sowetanlive.co.za/s-mag/2020-12-17-lungile-loves/,9.2,2,6.49,5.39,1.12,4.84,1
https://hbswk.hbs.edu/item/lipstick-tips-how-influencers-are-making-over-beauty-marketing,8.8,4,6.13,3.56,9.76,6.45,0
https://www.bbc.com/news/world-53468051,8.9,10,6.44,5,2.14,6.496,0
https://stylecaster.com/beauty/beauty-tips-for-girls/,9.5,4,7.06,5.61,5.58,6.35,0
https://www.theatlantic.com/health/archive/2020/03/coronavirus-quarantines-are-upending-beauty-routines/608689/,9.3,10,6.79,2.82,9.48,7.678,0
https://www.mamamia.com.au/makeup-tips-women-over-40/,8.6,2.76,6.88,0.44,4.01,4.538,1
https://www.harpersbazaar.com/uk/beauty/hair/a31184739/heidi-klum-beauty-recommendations/,7.7,3.69,7.17,7.95,6.3,6.562,0
https://www.aarp.org/entertainment/style-trends/info-2019/makeup-tips-older-women.html,9.1,3.93,7.11,2.88,6.51,5.906,1
https://www.allure.com/story/summer-skin-care-tips-from-dermatologists,8.8,1.41,6.55,5,4.27,5.206,1
https://www.bustle.com/articles/201204-10-bizarre-beauty-tips-from-the-middle-ages-that-you-wont-believe-actually-existed,9.6,1.4,7.12,3.3,4.23,5.13,1
https://www.thestatesman.com/supplements/section/beauty-cosmetics-mughal-ages-1502654342.html,8.7,4.29,6.88,3.27,9.73,6.574,0
https://www.webmd.com/diet/features/10-ways-to-lose-weight-without-dieting,9.4,2.86,6.07,3.83,0.15,4.462,1
https://www.gqindia.com/content/how-to-lose-weight-in-15-days-with-5-simple-tips-backed-by-science,9.5,5,7.16,5.31,9.07,7.208,0
https://food.ndtv.com/health/how-to-lose-weight-in-10-days-tips-and-tricks-1686764,8.4,1.11,6.2,5.15,0.03,4.178,1
https://www.healthkart.com/connect/how-to-lose-weight-in-15-days/bid-5307,7.4,2,6.78,3.59,0.04,3.962,1
https://ladiesnutrition.com/2017/08/25/lose-10-kg-just-15-days-diet-plan/,7.4,10,7.21,0.36,0.02,4.998,1
https://www.eatthis.com/best-weight-loss-tips/,8.5,8,6.81,3.9,0.06,5.454,1
https://www.healthifyme.com/blog/best-indian-diet-plan-weight-loss/,8,7,6.45,5.26,0.03,5.348,1
https://bodybuildingguide.net/how-much-weight-can-you-lose-in-15-days/,8.6,4,6.27,1.27,0.03,4.034,1
https://www.herzindagi.com/fitness/lose-one-kg-weight-in-three-days-with-these-easy-tips-article-77960,8.7,10,7.22,1.67,0.21,5.56,1
https://www.nowtolove.com.au/health/diet-nutrition/winter-weight-loss-56970,9.1,10,2.68,0.36,3.24,5.076,1
https://lazy-girl.tips/lose-15-kg-15-days-diet-plan/,9.4,4,6.94,1.77,0.05,4.432,1
https://www.herzindagi.com/fitness/5-easy-ways-lose-weight-in-winters-without-even-stepping-out-article-143707,8.7,2,6.77,3.89,0.02,4.276,1
https://www.stylecraze.com/articles/simple-ways-to-make-skin-glow-overnight/,9,4,7.35,4.08,0.37,4.96,1
https://pharmeasy.in/blog/simple-home-remedies-for-glowing-skin/,7.9,10,7.15,3.09,0.05,5.638,1
https://www.brides.com/story/overnight-skin-care-wedding-tips,8.9,1.54,6.71,1.29,0.06,3.7,1
https://food.ndtv.com/beauty/skin-nourisher-vs-moisturiser-10-natural-ingredients-for-youthful-skin-1264905,8.4,2.34,6.98,2.53,0.56,4.162,1
https://www.bebeautiful.in/all-things-skin/everyday/best-7-home-remedies-for-glowing-skin,10,2.14,7.06,2.58,0.06,4.368,1
https://www.weddingwire.in/wedding-tips/home-remedies-for-glowing-skin-in-one-day--c8343,9.4,10,7.44,5.97,8.9,8.342,0
https://skinkraft.com/blogs/articles/how-to-get-glowing-skin,9.2,10,7.14,1.85,0.03,5.644,1
https://yourstory.com/weekender/a-guide-to-a-healthy-mane-hair-care-tips-from-dermatologist,7.7,9.99,7.3,5,2.2,6.438,0
https://www.stylist.co.uk/beauty/the-golden-rules-of-good-hair-care-simple-steps-to-get-beautiful-happy-healthy-hair-celebrity-hairdresser-tips-advice/135381,8.9,0.83,6.86,2.23,0.3,3.824,1
https://www.aad.org/public/everyday-care/hair-scalp-care/hair/healthy-hair-tips,9.4,1.21,6.64,8.33,9.89,7.094,0
https://www.dermaessentia.com/blogs/hair-care/hair-growth-tips-women-men-for-healthy-hair,9.7,1.74,6.89,2.87,0.18,4.276,1
https://www.vogue.in/topics/hair-care/,9.1,1.67,5.77,8.74,9.5,6.956,0
https://www.foxy.in/media/-rndaf7e0b4e-d8c5-4f92-bf9e-7b4b146cd878,7.1,2.4,6.03,2.59,0.07,3.638,1
https://bellavitaorganic.com/blogs/bellavita-blogs/how-to-maintain-healthy-hair-7-hair-care-tips-youll-love?source=Google&medium=Ads&campaignid=12761124921&adgroupid=124668528447&device=c&keyword=&gclid=Cj0KCQjw-LOEBhDCARIsABrC0TkrNzQJYFdxujdUh5K2oA9cH7y0_1WLO-ZKNVSz6iPJUnPOdRH8i3IaAsmREALw_wcB,9.1,1.36,6.83,7.17,0.41,4.974,1
https://www.urbancompany.com/blog/beauty/how-to-maintain-healthy-hair-daily-hair-care-routine/,7.3,10,6.85,2.28,7.27,6.74,0
https://www.beardbrand.com/blogs/urbanbeardsman/hair-care,8.6,10,6.98,2.06,0.05,5.538,1
https://www.soultree.in/blogs/hair-care/tagged/natural-and-organic-hair-care-tips,9.4,2.86,6.88,2.24,0.09,4.294,1
https://www.parentcircle.com/article/care-for-your-childs-hair/,8.9,1.25,7.12,2.69,0.07,4.006,1
https://www.brides.com/gallery/wedding-beauty-best-tips,8.9,0,6.47,4.76,0.64,4.154,1
http://www.indianewes.com/hair-care-tips-%E0%A4%87%E0%A4%A8-%E0%A4%98%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A5%82-%E0%A4%89%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A5%8B%E0%A4%82-%E0%A4%95%E0%A5%80-%E0%A4%AE%E0%A4%A6%E0%A4%A6-%E0%A4%B8/,8.7,2.61,7.12,5.2,0.03,4.732,1
https://www.vcaretrichology.com/,9.4,10,6.46,1.59,0.91,5.672,1
https://www.cosmopolitan.com/style-beauty/beauty/g36278510/thin-curly-hair-care-tips-products/,8,10,7.01,3.38,0.05,5.688,1
https://www.glamour.com/story/greasy-hair-tips-according-to-experts,8.8,2.96,6.73,1.52,0.05,4.012,1
https://www.news24.com/w24/style/beauty/hairstyles/luna-luxs-cindy-khan-shares-wig-care-tips-for-beginners-plus-product-recommendations-20210428,7.9,2.31,6.48,0.73,1.69,3.822,1
https://thriveglobal.com/stories/the-3-step-pop-up-stress-check/,8.5,3.33,6.09,7.02,3.7,5.728,1
https://www.anoos.com/,9.4,2,6.76,5.36,0.74,4.852,1
https://vijaykarnataka.com/lifestyle/beauty/benefits-of-amla-and-coconut-oil-for-hair-to-get-rid-from-hairfall/articleshow/82326930.cms,8.2,1.88,7.12,3.75,0.24,4.238,1
https://tamil.boldsky.com/health/food/summer-foods-that-help-in-healthy-hair-growth-031188.html,8,2.31,7.12,3.8,0.14,4.274,1
https://www.self.com/beauty/skin,8.4,3.33,5.69,1.58,0.05,3.81,1
https://buymeonce.com/blogs/articles-tips/7-tips-for-taking-care-of-your-skin-in-winter,9.1,5,7.07,4.24,0.02,5.086,1
https://www.amazon.in/Natural-Skin-Care-Tips-Rejuvenated-ebook/dp/B0875V9GB8,7,4,6.75,7.65,0.18,5.116,1
https://www.olay.com/en-us/skin-care-tips-and-articles,8.6,6.67,6.78,4.95,0.04,5.408,1
https://www.shahnaz.in/beauty_blog/blogs/,7.9,6,6.89,7.18,0.1,5.614,1
https://en.wikipedia.org/wiki/Skin_care,7.8,4.29,6.67,1.24,6.66,5.332,1
https://www.indiatoday.in/lifestyle/health/story/monsoon-skincare-tips-doctors-tell-you-how-to-get-healthy-and-radiant-skin-1725451-2020-09-25,8,5,6.93,1.64,5.66,5.446,1
https://www.vogue.com/beauty/skin,9,5,4.84,1.8,0.11,4.15,1
https://www.kayayouth.com/blog/natural-skin-care-tips,7.7,4,6.82,5,0,4.704,1
https://www.lybrate.com/topic/weight-loss,8.3,5,7.23,5.53,0.11,5.234,1
http://www.medscape.com/features/slideshow/weight-loss-tips,8.2,5,7.12,2.96,0.11,4.678,1
https://www.redbookmag.com/body/health-fitness/advice/g643/burn-fat-yl/,7.6,10,6.82,0.73,0.03,5.036,1
https://www.revoltpro.com/blog/diet-nutrition/weight_loss_tips_how_to_count_calories.html,7.6,10,6.25,2.73,0.02,5.32,1
https://www.timesnowmarathi.com/health/article/how-to-reduce-weight-in-summer-follow-this-tips/344927,8.7,10,8.73,2.09,1.46,6.196,0
https://www.dietdoctor.com/low-carb/keto,9.7,10,6.2,2.67,9.96,7.706,1
https://cheatdaydesign.com/weight-loss-tips/,8.6,2,6.97,5,9.52,6.418,0
https://www.facebook.com/weightlosstipshindi1/,7.2,4.67,6.47,2.09,1.46,4.378,1
https://time.com/4792623/weight-loss-lose-weight-fast/,9.2,4.67,7.14,5.12,8.79,6.984,0
https://mysolluna.com/blog/2008/12/01/11-beauty-detox-weight-loss-tips/,9.1,10,6.81,4.63,0.24,6.156,0
https://www.eatright.org/health/weight-loss/tips-for-weight-loss,9.2,2.67,6.33,2.41,0.12,4.146,1
https://versionweekly.com/weight-loss/how-to-lose-weight-fast/,8.6,5.33,7.01,1.52,2.72,5.036,1
https://www.laheartspecialists.com/blog/the-best-weight-loss-tips,8.7,4.67,6.78,3.99,0.06,4.84,1
http://hindi.catchnews.com/health-care-tips-in-hindi/weight-loss-diet-lean-protein-fibre-215324.html,8.2,3,7.12,0.05,0.14,3.702,1
http://pakashalaindiankitchen.blogspot.com/2015/02/natural-weight-loss-tips.html,6.8,3.33,6.37,1.25,0.15,3.58,1
https://www.yourdietadvice.com/blog/6-top-tips-to-lose-weight-in-2019,7.5,4,6.84,1.93,0.75,4.204,1
http://www.samacharnama.com/weight-loss-tips-%E0%A4%AF%E0%A5%87-%E0%A4%96%E0%A4%BE%E0%A4%A6%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A4%A6%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A5-%E0%A4%A4%E0%A5%87%E0%A4%9C%E0%A5%80-%E0%A4%B8%E0%A5%87/,8.5,5,6.83,4.32,0.08,4.946,1
https://greatist.com/health/keto-diet-benefits,6.6,5,6.81,5.46,0.2,4.814,1
https://www.pinterest.com/overwhelmedbeauty/healthy-lifestyle-tips-and-tricks/,7.1,6,6.62,0.15,0.1,3.994,1
https://www.refinery29.com/en-us/healthy-lifestyle-tips,8.8,10,6.81,6.19,0.14,6.388,0
https://www.ahni.com/patient-resources/wellness-library/lifestyle-tips-men.html,8.9,10,6.5,3.54,0.06,5.8,1
https://simplelionheartlife.com/minimalist-lifestyle-tips/,7.6,4,6.75,1.49,0.1,3.988,1
https://www.niddk.nih.gov/health-information/weight-management/healthy-eating-physical-activity-for-life/health-tips-for-adults,9.4,8,6.68,0.63,1.7,5.282,1
https://expertphotography.com/lifestyle-photography-tips/,8.2,10,6.98,0.83,0.04,5.21,1
https://www.ucsfhealth.org/education/tips-for-staying-healthy,9.7,1.25,5.97,2.6,0,3.904,1
https://www.cosmopolitan.in/life,7.8,3.33,6.17,3.27,0.09,4.132,1
https://expertphotography.com/lifestyle-photography-tips/,8.2,10,6.98,6.19,0.14,6.302,0
https://www.bebeautiful.in/lifestyle,8.6,10,5.84,2.25,0.03,5.344,1
https://www.simplyfiercely.com/struggling-with-minimalism/,7.7,10,7.01,4.91,0.18,5.96,1
https://www.ingwb.com/media/2834784/ing-circulareconomy-five-tips.pdf,6.5,2,6.81,4.24,0.02,3.914,1
https://imbuenatural.com/2020/10/13/tips-for-a-healthy-lifestyle/,8.3,10,7.23,0.83,0.46,5.364,1
https://www.hindustantimes.com/lifestyle,8.8,4,6.81,2.14,0.25,4.4,1
https://www2.aston.ac.uk/sport/tips-information/fitness-tips,8.9,3.7,7.08,3.52,0.11,4.662,1
https://www.pritikin.com/your-health/healthy-living/womens-health/136-17-lifestyle-tips-for-the-menopause-years-and-beyond.html,9.5,6.67,5.78,1.45,2.2,5.12,1
https://www.betterhealth.vic.gov.au/health/HealthyLiving/overweight-children-healthy-lifestyle-tips,9.7,6.67,6.5,1.9,0.05,4.964,1
https://www.indiatvnews.com/lifestyle,9.2,3.33,6.33,3.88,7.1,5.968,1
https://www.precor.com/en-us/resources/5-tips-living-healthy-life-you-desire,9.4,4.44,6.67,4.66,0.15,5.064,1
https://www.ndtv.com/health/polycystic-ovary-syndrome-pcos-4-lifestyle-tips-that-can-help-you-lose-weight-and-reverse-pcos-2320052,7.8,6.67,6.84,0.95,0.01,4.454,1
